machine_id,status,temperature,vibration,rpm,timestamp,cumulative_hours,daily_hours
1,running,95.84,0.5,817,2025-04-28 18:48:27,748.25,0.0
2,running,112.54,0.79,1060,2025-04-28 18:48:27,729.49,0.0
3,running,60,0.47,814,2025-04-28 18:48:27,744.92,0.0
4,idle,60.0,0.2,0,2025-04-28 18:48:27,778.92,0.0
5,running,132.94,0.48,210,2025-04-28 18:48:27,689.37,0.0
6,running,164.88,0.8,52,2025-04-28 18:48:27,766.44,0.0
7,idle,60.0,0.2,0,2025-04-28 18:48:27,675.79,0.0
8,running,69.2,0.66,313,2025-04-28 18:48:27,671.82,0.0
9,idle,60.0,0.2,0,2025-04-28 18:48:27,700.89,0.0
10,running,77.19,0.51,338,2025-04-28 18:48:27,692.34,0.0
1,idle,60.0,0.2,0,2025-04-28 18:48:29,775.91,0.07
2,running,123.89,0.9,991,2025-04-28 18:48:29,724.89,0.08
3,running,165.25,0.9,0,2025-04-28 18:48:29,728.2,0.07
4,running,265.09,0.9,1372,2025-04-28 18:48:29,702.71,0.08
5,idle,60.0,0.2,0,2025-04-28 18:48:29,796.09,0.07
6,running,129.52,0.31,78,2025-04-28 18:48:29,768.21,0.07
7,running,112.54,0.38,0,2025-04-28 18:48:29,651.36,0.07
8,running,135.64,0.64,825,2025-04-28 18:48:29,655.78,0.07
9,idle,60.0,0.2,0,2025-04-28 18:48:29,679.54,0.07
10,running,86.75,0.37,290,2025-04-28 18:48:29,685.75,0.08
1,running,160.23,0.64,1067,2025-04-28 18:48:37,748.25,0.01
2,running,204.71,0.9,907,2025-04-28 18:48:37,729.5,0.01
3,running,60,0.52,61,2025-04-28 18:48:37,744.92,0.01
4,running,60,0.38,0,2025-04-28 18:48:37,778.92,0.0
5,idle,60.0,0.2,0,2025-04-28 18:48:37,689.37,0.0
6,error,60.0,0.2,0,2025-04-28 18:48:37,766.44,0.0
7,running,136.36,0.58,69,2025-04-28 18:48:37,675.79,0.0
8,running,70.97,0.83,378,2025-04-28 18:48:37,671.82,0.01
9,running,60,0.23,717,2025-04-28 18:48:37,700.89,0.0
10,running,109.4,0.69,959,2025-04-28 18:48:37,692.34,0.01
1,idle,60.0,0.2,0,2025-04-28 18:48:39,775.91,0.07
2,running,181.14,0.9,744,2025-04-28 18:48:39,724.89,0.08
3,running,218.8,0.9,372,2025-04-28 18:48:39,728.21,0.08
4,running,300,0.9,821,2025-04-28 18:48:39,702.71,0.08
5,running,60,0.37,907,2025-04-28 18:48:39,796.09,0.07
6,running,201.0,0.35,0,2025-04-28 18:48:39,768.21,0.07
7,running,75.77,0.79,0,2025-04-28 18:48:39,651.36,0.07
8,running,227.05,0.9,981,2025-04-28 18:48:39,655.78,0.07
9,running,60,0.41,113,2025-04-28 18:48:39,679.55,0.08
10,running,69.42,0.37,350,2025-04-28 18:48:39,685.75,0.08
1,running,133.08,0.9,1338,2025-04-28 18:48:47,748.25,0.01
2,running,222.52,0.9,1177,2025-04-28 18:48:47,729.5,0.01
3,running,122.74,0.71,0,2025-04-28 18:48:47,744.92,0.01
4,running,101.65,0.68,0,2025-04-28 18:48:47,778.92,0.01
5,idle,60.0,0.2,0,2025-04-28 18:48:47,689.37,0.0
6,running,118.82,0.3,43,2025-04-28 18:48:47,766.44,0.01
7,idle,60.0,0.2,0,2025-04-28 18:48:47,675.79,0.0
8,running,60,0.9,0,2025-04-28 18:48:47,671.82,0.01
9,idle,60.0,0.2,0,2025-04-28 18:48:47,700.89,0.0
10,running,125.93,0.66,1271,2025-04-28 18:48:47,692.34,0.01
1,running,62.75,0.2,0,2025-04-28 18:48:49,775.91,0.07
2,running,165.97,0.9,330,2025-04-28 18:48:49,724.9,0.09
3,idle,60.0,0.2,0,2025-04-28 18:48:49,728.21,0.08
4,running,300,0.9,795,2025-04-28 18:48:49,702.71,0.08
5,running,135.76,0.54,230,2025-04-28 18:48:49,796.1,0.08
6,running,241.88,0.63,0,2025-04-28 18:48:49,768.21,0.07
7,running,64.46,0.9,370,2025-04-28 18:48:49,651.36,0.07
8,running,208.14,0.9,1530,2025-04-28 18:48:49,655.79,0.08
9,running,145.87,0.63,690,2025-04-28 18:48:49,679.55,0.08
10,running,151.56,0.87,1302,2025-04-28 18:48:49,685.75,0.08
1,running,174.64,0.9,2180,2025-04-28 18:48:57,748.26,0.01
2,running,300,0.9,1201,2025-04-28 18:48:57,729.5,0.01
3,running,182.85,0.89,0,2025-04-28 18:48:57,744.93,0.01
4,running,71.06,0.9,4,2025-04-28 18:48:57,778.93,0.01
5,running,74.95,0.29,213,2025-04-28 18:48:57,689.38,0.01
6,running,207.71,0.4,0,2025-04-28 18:48:57,766.44,0.01
7,running,81.94,0.35,694,2025-04-28 18:48:57,675.79,0.01
8,running,60,0.9,75,2025-04-28 18:48:57,671.82,0.01
9,running,69.29,0.33,611,2025-04-28 18:48:57,700.9,0.01
10,running,140.18,0.9,690,2025-04-28 18:48:57,692.35,0.01
1,running,73.22,0.48,0,2025-04-28 18:48:59,775.91,0.07
2,running,147.89,0.9,336,2025-04-28 18:48:59,724.9,0.09
3,running,60,0.21,781,2025-04-28 18:48:59,728.21,0.08
4,running,300,0.9,188,2025-04-28 18:48:59,702.72,0.09
5,running,195.16,0.5,0,2025-04-28 18:48:59,796.1,0.08
6,running,237.02,0.84,0,2025-04-28 18:48:59,768.22,0.08
7,running,119.05,0.87,127,2025-04-28 18:48:59,651.37,0.08
8,running,161.93,0.9,1022,2025-04-28 18:48:59,655.79,0.08
9,running,98.82,0.84,1117,2025-04-28 18:48:59,679.55,0.08
10,running,120.39,0.9,1107,2025-04-28 18:48:59,685.75,0.08
1,idle,60.0,0.2,0,2025-04-28 18:49:07,748.26,0.01
2,running,300,0.9,707,2025-04-28 18:49:07,729.5,0.01
3,running,216.07,0.9,0,2025-04-28 18:49:07,744.93,0.01
4,idle,60.0,0.2,0,2025-04-28 18:49:07,778.93,0.01
5,running,63.88,0.65,718,2025-04-28 18:49:07,689.38,0.01
6,running,204.34,0.61,0,2025-04-28 18:49:07,766.44,0.01
7,running,60,0.63,740,2025-04-28 18:49:07,675.79,0.01
8,running,60,0.9,1007,2025-04-28 18:49:07,671.83,0.01
9,running,167.06,0.47,629,2025-04-28 18:49:07,700.9,0.01
10,running,99.92,0.9,947,2025-04-28 18:49:07,692.35,0.01
1,running,121.92,0.79,0,2025-04-28 18:49:09,775.92,0.08
2,idle,60.0,0.2,0,2025-04-28 18:49:09,724.9,0.09
3,running,60,0.4,1074,2025-04-28 18:49:09,728.21,0.08
4,idle,60.0,0.2,0,2025-04-28 18:49:09,702.72,0.09
5,running,287.3,0.46,0,2025-04-28 18:49:09,796.1,0.08
6,running,239.28,0.9,0,2025-04-28 18:49:09,768.22,0.08
7,running,147.8,0.9,682,2025-04-28 18:49:09,651.37,0.08
8,running,238.73,0.9,44,2025-04-28 18:49:09,655.79,0.08
9,running,116.67,0.9,644,2025-04-28 18:49:09,679.55,0.08
10,idle,60.0,0.2,0,2025-04-28 18:49:09,685.75,0.08
1,running,88.0,0.67,336,2025-04-28 18:49:17,748.26,0.01
2,running,300,0.9,1016,2025-04-28 18:49:17,729.51,0.02
3,running,214.27,0.9,244,2025-04-28 18:49:17,744.93,0.02
4,running,137.35,0.39,0,2025-04-28 18:49:17,778.93,0.01
5,running,60,0.71,942,2025-04-28 18:49:17,689.38,0.01
6,running,227.53,0.66,357,2025-04-28 18:49:17,766.45,0.01
7,running,148.31,0.9,766,2025-04-28 18:49:17,675.8,0.01
8,idle,60.0,0.2,0,2025-04-28 18:49:17,671.83,0.01
9,running,258.0,0.7,965,2025-04-28 18:49:17,700.9,0.01
10,running,167.19,0.86,363,2025-04-28 18:49:17,692.35,0.02
1,idle,60.0,0.2,0,2025-04-28 18:49:19,775.92,0.08
2,running,140.56,0.61,0,2025-04-28 18:49:19,724.9,0.09
3,running,60.88,0.57,1237,2025-04-28 18:49:19,728.21,0.08
4,idle,60.0,0.2,0,2025-04-28 18:49:19,702.72,0.09
5,running,300,0.49,0,2025-04-28 18:49:19,796.1,0.08
