MACHINE NUMBER,INSTALLATION DATE,SERIAL  NUMBER,MANUFACTURER,Model
machine_1,04-Jan-25,001CTX100901TC,DMG MORI,CTX beta 1250 TC
machine_2,01-Dec-20,001CTX101901TC,DMG MORI,CTX beta 1250 TC
machine_3,04-Feb-25,LT56901i,LEADWELL CNC MACHINES,LTC-50i SERIES
machine_4,01-Dec-21,LT689102i,LEADWELL CNC MACHINES,LTC-20i SERIES
machine_5,04-Sep-25,L859452iT,LEADWELL CNC MACHINES,iT SERIES
machine_6,09-Oct-24,001CTX109901TC,DMG MORI,NTX 3000
machine_7,09-Oct-24,001CTX100991TC,DMG MORI,NTX 3000
machine_8,10-Jul-23,EM89A120H,EMAG Systems GmbH,VSC 500
machine_9,19-Aug-23,EM89A189H,EMAG Systems GmbH,VSC 500
machine_10,10-Oct-23,EM89A15260H,EMAG Systems GmbH,VSC 500
