Unnamed: 0,Article Number,Name,Qty,Manufacturer,Designation,Time to replacement,Last Replacement
10,2618261,Standard Way Wipers,1 pes,EITEC                         , FBA V FLEX 38,1200,
60,2599335,Standard Way Wipers,1 pes,Wiper,FBA V FLEX 55,1200,
70,2600459,Standard Way Wipers,1 pes,Wiper,FBA V FLEX 56,1200,
80,2575291,Standard Way Wipers,1 pcs,Wiper,FBA V FLEX 57,1200,
90,2559605,Standard Way Wipers,1 pcs,Wiper,FBA V FLEX 58,1200,
120,2559608,Standard Way Wipers,1 pes,wiper profile,FBA V FLEX 61,700,655.78
130,2594092,Standard Way Wipers,1 pes,wiper profile,FBA V FLEX 62,1200,
140,2397438,SAFETY GLASS - 1110 x 1333,1 pcs,BSA LUFTFAHRT- UNE,Safety glass,500,655.78
150,2529673,FILTER MAT 320A*15A*145A- 1 15,1 pcs,filtre mat,filter element,750,763.7
500,2502115,FLT ELEMNT 0.01A MFM55A - 20,1 pcs,HYDAC                        ,filter element,750,693.58
510,2502113,RESS FLTR*MFM55*100*10A,1 pes,HYDAC                        ,pressure filter,600,693.59
1000,7030661,FILTER MAT*277*277*300g,4 st,FANNENBERG           ,filtre mat,600,763.7
1010,2264583,Contactor Relay 3RH11-4SOO-24V DC:,1 st,SIEMENS                     ,contactor relay,3000,
1020,2264609,AUX SW BLKA�3RH191A2S2OA CC,1 st,SIEMENS                     ,auxilliary switch bloc,650,750.89
1030,1081941,SU  R ELMNT*3RTA DIODE/Z-DIODE,2 st,SIEMENS                     ,"quenching element,",800,750.81
1040,1081942,OWER CONTA-3RT103*3H2S2OA-15KW,1 st,SIEMENS                     ,power contactor,3000,
1050,1081999,SU  R ELMNT*3RT*RC-KOMBIA�70VA-1,1 st,SIEMENS                     ,"quenching element,",800,726.02
1060,2264583,CONT RELAY*3RH11*4S0OA�24V*DC,1 st,SIEMENS                     ,contactor relay,3000,
1070,7001011,RELAY - RZA - CCA - 2WA 24V,1 st,WEIDMUELLER           ,relay,2000,
1071,2627242,RELAY ACCESSORY FOR   RZA A-A-V,2 pcs,WEIDMUELLER           ,Accessory (for relay),5000,
1080,2388315,RELAY MRZ*CCA 1WA - 24V,1 pcs,WEIDMUELLER           ,relay,670,750.59
1090,2264628,OWER CONTA 3RT1015A 3H1SA3KW,1 st,SIEMENS                     ,power contactor,3000,
1100,2264648,AUX SW BLK*3RH191*1S2O*CC,1 st,SIEMENS                     ,auxilliary switch bloc,690,750.89
1110,0C4268007400,USH BUTTN*  ULSANTE EMERGENZA,1 pes,SIEMENS                       ,ULSANTE A FUNC,2500,
1120,0C4268123111,SWITCH ELEMENT - CONTATTO - 1S - FASTON,1 pes,SIEMENS                     ,CONTATTO N.C. pe,2000,
1130,1082227,SWTCH ELEMENT - 3SB34*1S1OA SCHRAUB,2 st,SIEMENS                     ,switch element,2000,
1140,7018792,CONTRL DEV*3SB30AC DRUCK CL,1 st,SIEMENS                     ,control,400,750.86
1150,7059465,CONTL   RTS*SCHILD*BEREITSCHAFT,1 st,SIEMENS  ,control - individual p,1500,
1160,7016642,USH BUTTN*RAFIX16,3 st,RAFI                              ,pushbutton,1500,
1170,7016643,SWTCH ELEMA - RAFIX162S*LOET,3 st,RAFI                            ,Schaltelement Taste,760,750.86
1180,7016645,SIGNAL DEVICE - Leuchtvorsatz - 24VV,1 st,RAFI,Leuchtvorsatz farblo,2000,
1181,2484722,LAM  *7MM*300CM,1 pcs,MAXLED,3M-LICHTLEITER 7,1000,
1182,2547966,SIGNAL DEVA ControIIer RGBA 24V,1 pcs,SE ELEKTRONIK,Signal device RGB2,1000,
1190,7016647,SIGNAL DEVA Lampe 24V�DCA�LOET,1 st,RAFI,Lampenfassung W2:,1000,
1200,2512268,O  T COU  LRA�MOZA�2A,1 pcs,WEIDMUELLER,optical coupler,2500,
1210,7022257,"LED*4.6mm*WEISS*LD*W2x4,6D",3 st,RAFI,"W2x4,6d Single LEE",1000,
1220,2484379,OWER SU  L*DMG*24V*40A*400V,1 pcs,BLOCK,power supply,2000,
1230,2626607,DSTRIB EL.A�MV  12-8-S-4   M12,1 pcs,MURR ELEKTRONIK,distributor el. 4 poleE,1800,
1240,2626611,LINEA�MV   12A�  LUG-TA�  URA 10M,1 pcs,MURR ELEKTRONIK,line MV  12   LUG-T,1200,
1250,2498460,LINEA �B7-01W22A EKMA - BA,1 pcs,MURR ELEKTRONIK,line MV  12   LUG-T,1200,
1260,2572698,LINE*B7-51W22A�EKM*BA,1 pcs,MURR ELEKTRONIK,line MV  12   LUG-T,1200,
1270,7012754,ID CTR C  NA - BIindstopfen,7 st,RAFI,Blindstopfen mit Gec,3000,
1280,2574955,ADD-ON SET*EL*GASREGELUNG -A-7.5M,1 pcs,RAFI,Blindstopfen mit Gec,1000,
1290,2515024,FILTER ASTULZ 0550102GB2 WRA58,2 pcs,STULZ SpA,filter,750,750.89
1320,0C4214256500,ROX SWITCH B50EG3015V010 - 9.5,1 pcs,Selet Sensor,analog-sensor  M30,2000,
1330,2597433,LINE A-A0-10W22A EKMA - BA,1 pcs,Selet Sensor,analog-sensor  M31,3000,
1340,2331185,"CONNECTION LINE A�M12-VENTIL*3  *1,5M",3 pcs,MURR ELEKTRONIK,connection line,3000,
1350,2331186,"CONNECTION LINE*M12-DRUCKS.A 5  *1,5M",3 pcs,MURR ELEKTRONIK,connection line,3000,
1360,2507277,CONN LINE*M12-M8 ROBOT*3M*M8,2 pcs,MURR ELEKTRONIK,connection line,3000,
1370,2457990,CONNECTION  LINE AM12-VentiI 8mm,3 st,MURR ELEKTRONIK,connection line,3000,
1380,2488419,SAFETY SWITCH*3SE6A 2O*115V,1 pcs,SIEMENS,protective switch,700,750.89
