Drg. Number,Article Number,Name,Qty,Manufacturer,Designation,Time to replacement,Last Replacement
20,2383678,Standard Way Wipers,1 pcs,EITEC                          ,FBA V FLEX 39,1200,
30,2383679,Standard Way Wipers,1 pcs,EITEC                         , FBA V FLEX 39,1200,
40,2383668,Standard Way Wipers,1 pcs,EITEC                         , FBA V FLEX 39,1200,
50,2383666,Standard Way Wipers,1 pcs,EITEC                         , FBA V FLEX 54,1200,
140,2397438,SAFETY GLASS - 1110 x 1333,1 pcs,BSA LUFTFAHRT- UNE,Safety glass,500,857.46
150,2529673,FILTER MAT 320A*15A*145A- 1 15,1 pcs,filtre mat,Mat,750,726.18
500,2502115,FLT ELEMNT 0.01A MFM55A - 20,1 pcs,HYDAC                       , filter element,750,917.24
510,2502113,RESS FLTR*MFM55*100*10A,1 pcs,HYDAC                        ,pressure filter,600,726.18
1000,7030661,FILTER MAT*277*277*300g,4 st,FANNENBERG          ,filtre mat,600,645.34
1010,2264583,Contactor Relay 3RH11-4SOO-24V DC:,1 st,SIEMENS                     ,contactor relay,3000,
1020,2264609,AUX SW BLKA”3RH191A2S2OA CC,1 st,SIEMENS                     ,auxilliary switch bloc,3000,
1030,1081941,SU  R ELMNT*3RTA DIODE/Z-DIODE,2 st,SIEMENS                     ,"quenching element,",800,917.24
1040,1081942,OWER CONTA-3RT103*3H2S2OA-15KW,1 st,SIEMENS                     ,power contactor,3000,
1050,1081999,SU  R ELMNT*3RT*RC-KOMBIA”70VA-1,1 st,SIEMENS                     ,"quenching element,",800,896.79
1060,2264583,CONT RELAY*3RH11*4S0OA”24V*DC,1 st,SIEMENS                     ,contactor relay,3000,
1070,7001011,RELAY - RZA - CCA - 2WA 24V,1 st,WEIDMUELLER          ,relay,2000,
1080,2388315,RELAY ACCESSORY FOR   RZA A-A-V,1 pcs,WEIDMUELLER           ,relay,2000,
1090,2264628,RELAY MRZ*CCA 1WA - 24V,1 st,SIEMENS                    ,power contactor,3000,
1100,2264648,OWER CONTA 3RT1015A 3H1SA3KW,1 st,SIEMENS                     ,auxilliary switch bloc,1500,
1110,0C4268007400,AUX SW BLK*3RH191*1S2O*CC,1 pcs,SIEMENS                       ,ULSANTE A FUNC,650,769.13
1120,0C4268123111,USH BUTTN*  ULSANTE EMERGENZA,1 pcs,SIEMENS                     ,CONTATTO N.C. ps,2000,
1130,1082227,SWITCH ELEMENT - CONTATTO - 1S - FASTON,2 st,SIEMENS                     ,switch element,2000,
1140,7018792,SWTCH ELEMENT - 3SB34*1S1OA SCHRAUB,1 st,SIEMENS                     ,control,2000,
1150,7059465,CONTRL DEV*3SB30AC DRUCK CL,1 st,SIEMENS                     ,control - individual p,700,769.13
1160,7016642,CONTL   RTS*SCHILD*BEREITSCHAFT,3 st,RAFI                            ,pushbutton,1500,
1170,7016643,USH BUTTN*RAFIX16,3 st,RAFI                            ,Schaltelement Taste,2000,
1180,7016645,SIGNAL DEV*Leuchtvorsatz*24VV,1 st,RAFI                            ,Leuchtvorsatz farblo,2000,
1190,7016647,SIGNAL DEV*Lampe*24V*DC*LOET   ,1 st,RAFI,Lampenfassung W2:,1000,946.1
1200,2512268,O  T COU  LRA“MOZA“2A,1 pcs,WEIDMUELLER,optical coupler,2500,
1210,7022257,"LED*4.6mm*WEISS*LD*W2x4,6D",3 st,RAFI,"W2x4,6d Single LEE",1000,1044.5
1220,2484379,OWER SU  L*DMG*24V*40A*400V,1 pcs,BLOCK,power supply,2000,
1230,2626607,DSTRIB EL.A”MV  12-8-S-4   M12,1 pcs,MURR ELEKTRONIK,distributor el. 4 poleE,1800,
1240,2626611,LINEA“MV   12A”  LUG-TA”  URA 10M,1 pcs,MURR ELEKTRONIK,line MV  12   LUG-T,1200,
1270,7012754,ID CTR C  NA - BIindstopfen,7 st,RAFI,Blindstopfen mil Gec,3000,
1290,2515024,FILTER*STULZ 0550102GB2 WRA58              ,2 pcs,STULZ SpA,filter,750,896.79
1320,0C4214256500,ROX SWTCH*B50EG3015V010*9.5,1 pcs,Selet Sensor,analog-sensor  M30,2000,
1340,2331185,"CONNECTION LINE A”M12-VENTIL*3  *1,5M",3 pcs,MURR ELEKTRONIK,connection line,3000,
1350,2331186,"CONNECTION LINE*M12-DRUCKS.A 5  *1,5M",1 pcs,MURR ELEKTRONIK,connection line,3000,
1360,2507277,CONN LINE*M12-M8 ROBOT*3M*M8,1 pcs,MURR ELEKTRONIK,connection line,3000,
1370,2457990,CONNECTION  LINE AM12-VentiI 8mm,3 st,MURR ELEKTRONIK,connection line,3000,
1380,2488419,SAFETY SWITCH*3SE6A 2O*115V,1 pcs,SIEMENS,protective switch,2000,
